date,promo_rate,tail_mean_h4
2023-02-22,0.090909,0.1998
2023-02-23,0.111111,0.3540
2023-02-24,0.000000,0.1054
2023-02-27,0.111111,-0.0078
2023-02-28,0.250000,0.7414
2023-03-01,0.000000,0.3437
2023-03-02,0.083333,-0.1664
2023-03-03,0.052632,0.1768
2023-03-06,0.200000,-0.0134
2023-03-07,0.142857,-0.7618
2023-03-08,0.200000,0.5926
2023-03-09,0.250000,-0.0543
2023-03-10,0.100000,-0.4039
2023-03-13,0.083333,0.5457
2023-03-14,0.107143,-0.0315
2023-03-15,0.100000,-0.0626
2023-03-16,0.083333,-0.2239
2023-03-17,0.100000,-0.4001
2023-03-20,0.076923,-0.1631
2023-03-21,0.333333,0.5620
2023-03-22,0.080000,0.2174
2023-03-23,0.160000,0.3973
2023-03-24,0.000000,0.1567
2023-03-27,0.235294,0.0979
2023-03-28,0.074074,-0.4829
2023-03-29,0.083333,-0.2460
2023-03-30,0.071429,-0.2356
2023-03-31,0.000000,0.1656
2023-04-03,0.035714,0.2741
2023-04-04,0.114286,0.2276
2023-04-06,0.150000,0.2239
2023-04-07,0.080000,0.1431
2023-04-10,0.078947,-0.2960
2023-04-11,0.043478,0.5309
2023-04-12,0.200000,0.2958
2023-04-13,0.090909,-0.0273
2023-04-14,0.055556,0.0279
2023-04-17,0.074074,0.2611
2023-04-18,0.172414,-0.1209
2023-04-19,0.250000,-0.2290
2023-04-20,0.083333,0.3018
2023-04-21,0.064516,-0.8306
2023-04-24,0.300000,0.0182
2023-04-25,0.187500,0.6061
2023-04-26,0.190476,-0.4630
2023-04-27,0.068182,-0.4078
2023-04-28,0.033333,0.2842
2023-05-04,0.204819,0.2863
2023-05-05,0.063492,0.1231
2023-05-08,0.320000,-0.0071
2023-05-09,0.095238,-0.5389
2023-05-10,0.058824,0.2085
2023-05-11,0.107143,-0.1078
2023-05-12,0.117647,-0.1486
2023-05-15,0.111111,0.5880
2023-05-16,0.058824,0.0111
2023-05-17,0.157895,0.4187
2023-05-18,0.111111,0.4289
2023-05-19,0.102564,-0.0905
2023-05-22,0.095238,0.3091
2023-05-23,0.129032,-0.6184
2023-05-24,0.200000,-0.4266
2023-05-25,0.181818,1.0108
2023-05-26,0.142857,0.1591
2023-05-29,0.194444,0.0536
2023-05-30,0.115385,0.8094
2023-05-31,0.166667,-0.1503
